ZIND HUMBRECHT ALSACE GRAND CRU PINOT GRIS RANGEN DE THANN CLOS SAINT URBAIN;1996;BO;95;1;UNITE;Verif CDT 
ZIND HUMBRECHT ALSACE GRAND CRU PINOT GRIS RANGEN DE THANN CLOS SAINT URBAIN;1997;BO;95;3;UNITE;Verif CDT 
ZIND HUMBRECHT ALSACE GRAND CRU PINOT GRIS RANGEN DE THANN CLOS SAINT URBAIN;2000;BO;85;3;UNITE;Verif CDT 
ZIND HUMBRECHT ALSACE GRAND CRU PINOT GRIS RANGEN DE THANN CLOS SAINT URBAIN;2001;BO;85;1;UNITE;Verif CDT 
ZIND HUMBRECHT ALSACE GRAND CRU PINOT GRIS RANGEN DE THANN CLOS SAINT URBAIN;2002;BO;80;1;UNITE;Verif CDT 
ZIND HUMBRECHT ALSACE GRAND CRU PINOT GRIS RANGEN DE THANN CLOS SAINT URBAIN;2004;BO;70;1;UNITE;Verif CDT 
ZIND HUMBRECHT ALSACE GRAND CRU PINOT GRIS RANGEN DE THANN CLOS SAINT URBAIN;2005;BO;85;2;UNITE;Verif CDT 
ZIND HUMBRECHT ALSACE GRAND CRU PINOT GRIS RANGEN DE THANN CLOS SAINT URBAIN;2006;BO;70;1;UNITE;Verif CDT 
ZIND HUMBRECHT ALSACE GRAND CRU PINOT GRIS RANGEN DE THANN CLOS SAINT URBAIN VENDANGES TARDIVES;1998;BO;100;1;UNITE;Verif CDT 
ZIND HUMBRECHT ALSACE GRAND CRU RIESLING RANGEN DE THANN CLOS SAINT URBAIN;2009;BO;95;2;UNITE;Verif CDT 
ZIND HUMBRECHT ALSACE GRAND CRU RIESLING RANGEN DE THANN CLOS SAINT URBAIN;2010;BO;105;2;UNITE;Verif CDT 
ZIND HUMBRECHT ALSACE GRAND CRU RIESLING RANGEN DE THANN CLOS SAINT URBAIN;2018;BO;77,5;9;UNITE;Verif CDT 
ZIND HUMBRECHT ALSACE GRAND CRU RIESLING BRAND;2003;BO;55;1;UNITE;Verif CDT 
LAURENT BANNWARTH ALSACE CUVEE SYNERGIE QVEVRI;2015;BO;24;3;UNITE;Verif CDT 
LA BOHEME PATRICK BOUJU J COMME JACQUERE;2018;BO;22,5;10;UNITE;Verif CDT 
LA BOHEME PATRICK BOUJU SUPER B;2018;BO;20;10;UNITE;Verif CDT 
LA BOHEME PATRICK BOUJU THE BLANC;2016;BO;22,5;2;UNITE;Verif CDT 
JEAN MARC BURGAUD BEAUJOLAIS VILLAGES;2013;BO;8;4;UNITE;Verif CDT 
JEAN MICHEL DUPRE BEAUJOLAIS VILLAGES (VIGNES DE;2017;BO;7,5;19;CBO12;Verif CDT 
YVON METRAS BEAUJOLAIS MADAME PLACARD;2019;BO;30;1;UNITE;Verif CDT 
YVON METRAS BEAUJOLAIS MADAME PLACARD;2020;BO;35;1;UNITE;Verif CDT 
